Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
74,6,1799.0,9999.0,82.00820082,4.2,33415.0,15,0,2,11,1,8.0,1,10,2
75,14,1799.0,4999.0,64.01280256,4.1,13901.0,386,0,2,7,1,8.0,1,14,1
76,10,1699.0,5499.0,69.10347336,2.7,10.0,360,0,2,11,1,17.5,1,14,3
77,10,1599.0,5999.0,73.34555759,4.3,37.0,94,0,2,11,1,12.5,1,14,3
78,10,1499.0,5999.0,75.01250208,4.1,1014.0,143,0,2,11,1,17.5,1,14,3
79,10,1699.0,7999.0,78.75984498,2.0,5.0,360,0,2,11,1,17.5,1,14,2
80,10,3299.0,5999.0,45.00750125,4.0,102.0,139,0,2,11,1,8.0,1,10,3
81,10,1499.0,5999.0,75.01250208,3.0,2.0,360,0,2,11,1,17.5,1,14,3
82,10,3299.0,5999.0,45.00750125,4.0,102.0,4,0,2,8,1,12.5,1,10,3
83,10,1699.0,5499.0,69.10347336,2.5,3.0,141,0,2,11,1,17.5,1,14,3
84,1,2368.0,4499.0,47.36608135,3.5,301.0,77,0,2,11,1,12.5,1,14,1
85,1,2199.0,4999.0,56.01120224,3.9,256.0,78,0,2,11,1,8.0,1,14,1
86,6,1799.0,2199.0,18.1900864,4.3,39274.0,18,0,2,11,1,3.5,1,10,1
87,6,1999.0,7999.0,75.00937617,4.1,33012.0,12,0,2,11,1,8.0,1,14,1
89,14,1799.0,3999.0,55.01375344,4.0,32704.0,381,0,2,7,1,8.0,1,14,1
90,15,2999.0,6999.0,57.15102157,3.8,3563.0,177,0,2,11,1,8.0,1,15,3
91,15,4499.0,7499.0,40.00533404,3.6,94.0,175,0,2,11,1,12.5,1,10,1
92,15,3999.0,7999.0,54.556201075,3.6,725.0,176,0,2,11,1,12.5,1,10,2
93,15,4299.0,7499.0,42.67235631,3.6,55.0,178,0,2,11,1,17.5,1,8,1
94,4,3999.0,11999.0,66.67222269,3.9,3856.0,200,0,2,11,1,3.6,1,16,0
95,4,3999.0,7999.0,50.00625078,3.9,3856.0,200,0,2,11,1,3.6,1,16,0
96,6,2499.0,9999.0,75.00750075,4.1,2571.0,21,0,2,11,1,8.0,1,19,3
97,11,1799.0,4999.0,64.01280256,3.6,516.0,360,0,2,11,1,17.5,1,15,3
99,17,1999.0,3999.0,50.01250313,3.8,2452.0,356,0,2,7,1,8.0,1,28,3
100,17,2449.0,8499.0,71.18484528,3.9,207.0,360,0,2,11,1,8.0,1,14,1
102,17,1799.0,6499.0,72.31881828,3.8,2138.0,342,0,2,11,1,3.5,1,14,1
103,17,3499.0,11499.0,69.57126707,4.2,52.0,338,0,2,11,1,0.75,1,15,2
109,6,1299.0,7999.0,83.76047006,4.2,25784.0,13,0,2,11,1,8.0,1,14,1
110,6,2499.0,11999.0,79.17326444,4.1,1990.0,20,0,2,11,1,8.0,1,16,3
111,6,1799.0,9999.0,82.00820082,4.2,33415.0,15,0,2,11,1,8.0,1,10,2
112,6,2499.0,9999.0,75.00750075,4.2,23302.0,16,0,2,11,1,3.5,1,15,2
113,6,2499.0,9999.0,75.00750075,4.2,23302.0,16,0,2,11,1,3.5,1,15,2
114,6,1794.0,7999.0,77.57219652,4.1,33012.0,12,0,2,11,1,8.0,1,14,1
115,6,3499.0,11999.0,70.8392366,4.1,44170.0,10,0,2,11,1,3.5,1,16,3
116,6,2499.0,18999.0,86.84667614,4.2,11.0,22,0,2,11,1,3.5,1,16,3
117,6,2499.0,11999.0,79.17326444,4.1,1990.0,20,0,2,11,1,8.0,1,16,3
118,6,1399.0,11999.0,88.34069506,4.1,1519.0,14,0,2,11,1,8.0,1,15,3
119,6,1899.0,8999.0,78.8976553,4.0,15543.0,9,0,2,11,1,8.0,1,10,2
120,6,1999.0,7999.0,75.00937617,4.1,33012.0,12,0,2,11,1,8.0,1,14,1
121,6,1799.0,11999.0,85.00708392,4.3,39274.0,23,0,2,11,1,3.5,1,11,3
122,2,29650.0,29900.0,0.836120401,4.5,154.0,284,4,13,11,1,22.0,1,13,4
124,2,23349.0,23900.0,2.305439331,4.6,55800.0,289,4,2,11,1,22.0,1,14,0
125,2,33900.0,7999.0,54.556201075,4.6,3440.0,285,4,20,11,1,22.0,1,13,4
129,2,41900.0,7999.0,54.556201075,4.6,2847.0,298,4,10,0,1,22.0,1,13,4
130,2,29900.0,7999.0,54.556201075,4.6,5502.0,281,4,8,11,1,22.0,1,13,4
132,2,53900.0,7999.0,54.556201075,4.5,1519.0,295,4,3,0,1,22.0,1,15,0
133,2,49900.0,7999.0,54.556201075,4.5,1349.0,291,4,2,11,1,22.0,1,13,0
137,2,32899.0,32900.0,0.003039514,4.6,5502.0,283,4,11,11,1,22.0,1,14,0
139,2,41900.0,7999.0,54.556201075,4.6,2847.0,299,4,2,0,1,22.0,1,13,4
140,2,53900.0,7999.0,54.556201075,4.5,1519.0,296,4,10,0,1,22.0,1,15,0
141,2,44900.0,7999.0,54.556201075,4.6,2847.0,303,4,23,0,1,22.0,1,15,0
142,2,44900.0,7999.0,54.556201075,4.6,2847.0,301,4,3,0,1,22.0,1,15,0
143,2,41900.0,7999.0,54.556201075,4.6,2847.0,297,4,3,0,1,22.0,1,13,4
144,2,40900.0,7999.0,54.556201075,4.5,1720.0,290,4,2,11,1,22.0,1,13,0
146,2,32900.0,7999.0,54.556201075,4.6,5502.0,282,4,8,11,1,22.0,1,14,0
148,14,1999.0,5999.0,66.67777963,4.2,80483.0,41,4,2,11,1,22.0,1,15,0
149,14,1299.0,3999.0,67.51687922,4.2,27445.0,39,5,2,11,1,22.0,1,14,0
151,14,1499.0,4999.0,70.0140028,3.4,504.0,38,4,10,11,1,8.0,1,15,0
152,14,1599.0,4999.0,68.01360272,4.3,4398.0,32,4,10,11,1,22.0,1,14,0
154,14,3999.0,6999.0,42.86326618,4.4,12469.0,63,0,2,11,1,22.0,1,11,0
155,14,2999.0,7999.0,62.50781348,4.3,11755.0,47,5,2,11,1,22.0,1,15,0
156,14,2999.0,5999.0,50.00833472,4.3,13108.0,45,4,2,11,1,22.0,1,14,0
157,14,2499.0,6999.0,64.29489927,4.3,3944.0,42,5,11,11,1,22.0,1,16,0
159,14,2999.0,8999.0,66.6740749,4.1,22942.0,76,0,2,11,1,22.0,1,10,0
160,14,3799.0,5999.0,36.6727788,4.2,6004.0,46,4,2,11,1,22.0,1,15,0
162,14,1799.0,5999.0,70.01166861,4.2,32505.0,36,4,2,14,1,22.0,1,12,0
163,14,1999.0,5999.0,66.67777963,4.1,69379.0,44,4,2,14,1,3.5,1,13,0
164,14,1499.0,3999.0,62.51562891,4.0,6638.0,49,0,2,11,1,22.0,1,10,0
165,14,1799.0,5999.0,70.01166861,4.1,3506.0,37,5,2,11,1,22.0,1,15,0
166,14,1799.0,3999.0,55.01375344,4.2,5970.0,334,4,11,11,1,22.0,1,14,0
168,3,1699.0,5990.0,71.6360601,4.0,98388.0,312,4,2,11,1,22.0,1,14,0
169,3,2499.0,8990.0,72.20244716,4.2,2893.0,310,4,2,11,1,22.0,1,16,0
170,3,3299.0,9799.0,66.33329932,4.1,13261.0,213,4,23,11,1,22.0,1,15,0
171,3,1499.0,5990.0,74.97495826,4.1,45492.0,315,4,23,11,1,22.0,1,13,0
172,3,2499.0,5990.0,58.28046745,4.2,39734.0,309,4,11,11,1,22.0,1,14,0
173,3,1299.0,6990.0,81.41630901,3.9,17456.0,316,4,22,11,1,22.0,1,14,0
175,3,1999.0,8999.0,77.78642071,3.9,6469.0,214,4,2,11,1,22.0,1,15,0
176,3,2499.0,7990.0,68.72340426,4.0,8179.0,306,4,10,11,1,22.0,1,15,0
177,3,3999.0,6990.0,42.78969957,4.2,628.0,314,4,23,11,1,22.0,1,15,0
178,3,2799.0,5990.0,53.2721202,3.9,2406.0,313,5,10,11,1,22.0,1,13,0
179,3,1999.0,6990.0,71.40200286,3.9,12026.0,275,4,3,11,1,22.0,1,12,0
180,3,3999.0,7999.0,54.556201075,5.0,1014.0,307,4,2,11,1,22.0,1,14,0
181,3,2299.0,6990.0,67.11015737,3.9,16676.0,239,5,2,11,1,22.0,1,14,0
182,3,2999.0,7990.0,62.46558198,3.8,11340.0,335,5,2,11,1,22.0,1,10,0
183,12,8999.0,14999.0,40.00266684,4.4,14613.0,167,0,2,3,1,8.0,1,11,0
184,12,12999.0,18999.0,31.58060951,4.2,84.0,265,0,3,4,1,8.0,1,11,0
185,12,13999.0,15999.0,12.5007813,4.4,14613.0,166,0,4,4,1,8.0,1,15,0
186,12,17999.0,20999.0,14.28639459,4.4,1111.0,266,0,3,6,1,17.5,1,11,0
